ZONE_TYPE,ZONE_CLASS,EDIT_STATU,EDIT_DATE,PD_PREFIX,PD_NUM,ORDINANCE_,ORDINANCE1
1,B3-2,ACTIVE,,,0,,
5,PD 798,ACTIVE,,R,798,,
1,B1-1,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
4,RS-2,ACTIVE,,,0,,
1,B1-2,ACTIVE,,,0,,
3,M1-2,ACTIVE,,,0,,
4,RM-5,ACTIVE,,,0,,
1,B1-2,ACTIVE,,,0,,
12,POS-1,ACTIVE,03/18/05,,0,,
3,M2-2,ACTIVE,,,0,,
3,M1-1,ACTIVE,,,0,,
3,M2-2,ACTIVE,,,0,,
5,PD 202,ACTIVE,,I,202,,
2,C2-1,ACTIVE,,,0,,
2,C2-2,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
1,B1-1,ACTIVE,,,0,,
2,C1-2,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C1-1,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RS-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
2,C1-1,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RS-3,ACTIVE,,,0,,
1,B3-1,ACTIVE,,,0,,
4,RS-2,ACTIVE,,,0,,
1,B3-2,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
4,RT-4,ACTIVE,,,0,,
